,City,Cloudiness,County,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cherskiy,82,RU,1586898155,95,68.75,161.3,8.13,10.25
1,ushuaia,40,AR,1586897973,70,-54.8,-68.3,48.2,5.7
2,saint-augustin,51,CA,1586898155,70,51.23,-58.65,40.03,18.37
3,mersin,1,TR,1586898156,71,36.86,34.65,57.2,3.62
4,mar del plata,3,ES,1586898156,82,43.4,-4.01,59.0,5.82
5,carnarvon,35,AU,1586898157,69,-24.87,113.63,73.4,17.22
6,linqiong,0,CN,1586898157,100,30.42,103.46,55.4,2.19
7,barrow,90,US,1586898157,85,71.29,-156.79,12.2,5.82
8,gat,40,IL,1586898102,82,31.61,34.76,64.4,2.24
9,hermanus,0,ZA,1586897871,92,-34.42,19.23,62.01,7.16
10,kaitangata,66,NZ,1586898159,79,-46.28,169.85,48.0,5.01
11,rikitea,74,PF,1586898159,65,-23.12,-134.97,76.44,6.76
12,hilo,90,US,1586897946,83,19.73,-155.09,75.2,8.05
13,san quintin,59,ML,1586898159,20,13.3,-4.9,97.05,4.47
14,hasaki,20,JP,1586898159,44,35.73,140.83,37.4,1.12
15,saskylakh,88,RU,1586898160,90,71.92,114.08,-2.31,15.77
16,dikson,22,RU,1586898160,94,73.51,80.55,5.97,9.93
17,punta arenas,0,PH,1586898160,82,8.99,125.34,75.52,5.66
18,alghero,0,IT,1586898160,86,40.56,8.32,56.52,6.04
19,busselton,67,AU,1586898160,59,-33.65,115.33,59.0,16.91
20,esil,77,KZ,1586898161,71,51.96,66.4,37.58,15.05
21,albany,75,US,1586898008,26,42.6,-73.97,54.0,14.99
22,hobart,75,AU,1586898064,87,-42.88,147.33,57.99,4.7
23,esperance,75,AU,1586898162,93,-33.87,121.9,62.6,10.29
24,suntar,81,RU,1586898162,93,62.14,117.63,31.89,5.06
25,nizwa,71,OM,1586898148,37,22.93,57.53,77.77,2.84
26,porto velho,92,PT,1586898124,72,41.15,-8.61,64.0,2.51
27,auchel,1,FR,1586898163,80,50.5,2.47,44.6,8.05
28,lompoc,1,US,1586898164,77,34.64,-120.46,75.99,13.87
29,kapaa,20,US,1586898164,78,22.08,-159.32,81.0,8.05
30,jamestown,75,US,1586898164,41,42.1,-79.24,43.0,9.17
31,bluff,100,NZ,1586898164,94,-46.6,168.33,45.0,5.01
32,provideniya,90,RU,1586898164,74,64.38,-173.3,30.2,13.42
33,ilulissat,75,GL,1586898165,68,69.22,-51.1,28.4,8.05
34,belfast,48,GB,1586898052,81,54.58,-5.93,48.2,8.05
35,umtata,100,ZA,1586898166,93,-31.59,28.78,55.4,5.82
36,port elizabeth,84,CD,1586898166,61,-7.03,29.76,72.25,2.17
37,saldanha,0,ZA,1586898166,82,-33.01,17.94,59.0,5.82
38,puerto escondido,48,ES,1586898166,63,36.59,-6.23,64.4,11.41
39,tocopilla,16,CL,1586898166,35,-22.09,-70.2,76.14,3.71
40,jetpur,35,IN,1586898166,62,21.73,70.62,84.99,8.95
41,yellowknife,90,CA,1586898166,85,62.46,-114.35,30.0,2.24
42,port alfred,84,CD,1586898167,61,-7.03,29.76,72.25,2.17
43,victoria,20,HK,1586897962,77,22.29,114.16,69.01,3.36
44,morondava,1,MG,1586898167,80,-20.28,44.28,79.34,5.44
45,gabu,52,GW,1586898167,23,12.28,-14.22,87.31,4.74
46,mahajanga,20,MG,1586898168,78,-15.72,46.32,77.0,5.82
47,vaini,40,TO,1586898168,78,-21.2,-175.2,78.8,8.05
48,narasannapeta,0,IN,1586898169,86,18.42,84.05,78.15,7.11
49,igarka,0,RU,1586898169,91,67.47,86.58,6.89,8.1
50,itarema,96,BR,1586898169,78,-2.92,-39.92,78.48,3.78
51,pevek,55,RU,1586898170,91,69.7,170.31,8.8,0.96
52,hami,15,CN,1586898170,31,42.8,93.45,63.32,12.88
53,new norfolk,100,LR,1586898170,88,6.65,-10.59,78.33,3.33
54,atuona,35,PF,1586898170,68,-9.8,-139.03,82.35,6.22
55,alekseyevsk,0,RU,1586898171,90,57.84,108.35,30.94,2.68
56,adrar,42,MR,1586898171,50,20.5,-10.07,76.26,13.29
57,sorland,90,NO,1586898171,93,67.67,12.69,35.6,16.11
58,makakilo city,75,US,1586898066,88,21.35,-158.09,75.2,4.7
59,gilbues,100,BR,1586898053,84,-9.83,-45.34,71.01,5.99
60,lebu,49,CL,1586898172,63,-37.62,-73.65,59.13,5.68
61,kavieng,86,PG,1586898172,77,-2.57,150.8,81.73,5.57
62,narsaq,40,GL,1586898172,50,60.92,-46.05,33.8,1.12
63,naze,100,JP,1586898172,93,28.37,129.48,53.6,3.36
64,ucluelet,20,CA,1586898172,81,48.93,-125.55,66.0,8.05
65,zamora,90,EC,1586897947,61,-4.07,-78.96,77.0,10.29
66,norman wells,90,US,1586897927,53,35.22,-97.44,46.99,6.93
67,redmond,1,US,1586897934,41,47.67,-122.12,66.0,4.7
68,khartoum,72,SD,1586898010,9,15.55,32.53,82.4,10.29
69,qaanaaq,100,GL,1586898173,94,77.48,-69.36,20.57,6.89
70,talnakh,27,RU,1586898173,77,69.49,88.4,-0.4,17.9
71,ziyang,10,CN,1586898174,74,29.25,117.85,52.05,1.77
72,san patricio,59,ML,1586898159,20,13.3,-4.9,97.05,4.47
73,khatanga,88,RU,1586898175,90,71.97,102.5,-5.96,4.94
74,vao,92,NC,1586898176,76,-22.67,167.48,74.3,14.07
75,saint-leu,3,RE,1586898176,78,-21.15,55.28,75.2,5.82
76,cape town,22,CL,1586898176,15,-36.41,-71.9,77.0,5.82
77,bambous virieux,75,MU,1586898177,83,-20.26,57.41,78.8,14.99
78,yulara,10,AU,1586898177,25,-25.24,130.99,60.8,5.82
79,montepuez,8,MZ,1586898177,85,-13.13,39.0,68.67,2.33
80,szydlowiec,11,PL,1586898140,52,51.23,20.86,43.0,4.0
81,sinaloa,20,MX,1586898177,25,25.0,-107.5,91.99,6.93
82,inzer,70,RU,1586898178,90,54.22,57.56,30.4,4.23
83,tiarei,45,PF,1586898178,70,-17.53,-149.33,87.8,5.82
84,torbay,90,CA,1586897879,93,47.67,-52.73,48.99,21.92
85,takoradi,37,GH,1586898178,82,4.88,-1.76,82.44,7.16
86,santa rosa,61,PH,1586898178,82,17.49,120.43,75.16,1.68
87,yeppoon,90,AU,1586898179,77,-23.13,150.73,68.0,5.82
88,grand river south east,1,US,1586898179,14,38.88,-109.5,48.2,11.41
89,beloha,0,MG,1586898180,67,-25.17,45.05,77.31,7.11
